address,squadron,prefund,ste,STE Real,tickets
terra1ms0hk5y2jluqhzl2v5mz7vgntzpfvxen8awwtm,degens,2002.927597,3154.945358,3154.945358,12
terra17rzmxdv2zf45jk8h7t7kfaq2v8fvjljdeavkx7,degens,3900,3154.618576,3154.618576,12
terra135hcr5uajv00w88wfk282tm9xk4ga6ushcaeqq,degens,2100,3151.61632,3151.61632,12
terra1sp5edp9kgc24m02ez2mwgkqx0gdksnusmn4zpa,degens,2000,3146.57675,3146.57675,12
terra1nuy4062j4c7750hptxy684ujzxphcsk8mfn9r6,degens,2000,3145.840717,3145.840717,12
terra193r7m6hp94ej6t7v4japslc2f58a0fxt34xh3v,degens,4000,3141.527845,3141.527845,12
terra1nkc7k6dkfxzupflld00ayfvys0zlxja2qnllcl,degens,7000,3140.778404,3140.778404,12
terra1c4jsc0traz7k3u9fmlnw0k43fl755r3h2rg6fe,degens,2000,3139.725177,3139.725177,12
terra1l5jtrm52rys6ma8r6f7tdyzqt0afmmjn3alx9y,degens,10000,3138.370433,3138.370433,12
terra12ma5wy7hm4lgc9ul7syhyvq42tthua7selr9wz,degens,3200,3134.292167,3134.292167,12
terra1gy49qugz2hxcm5su2ckr0egkctp2hrfgtakykz,degens,2000,3133.812929,3133.812929,12
terra1s59xawsehenj9mvgc3rwgm0atkfmk46hs42sps,degens,3000,3130.361727,3130.361727,12
terra1y97j3ka8e0wsk7auxs7vjfxwtw3nuxmxzqqq6q,degens,2000,3129.54963,3129.54963,12
terra1g3n37lz2naczz0qkn004mejpux6mlgnr7hth8s,degens,2000,3115.35972,3115.35972,12
terra156jx468yel8s23530ld6vx69ctjajf9tt7mae9,degens,3700,3112.374451,3112.374451,12
terra1g0rv6wg0tqkuhq7z8wy9z4lds9w4qhmf20e4f4,degens,6000,3109.939176,3109.939176,12
terra1cvdcc4mwwx3p6s32n8tl7xgnu9u0yvlsjj3pta,degens,2000,3107.171102,3107.171102,12
terra1jdk06sd6z0s233j2vs7r99p9h856asw98j53rq,degens,2500,3101.11236,3101.11236,12
terra1cegtnaqr5stdkrh5m2fcgzhhv2gud9cvk8s6f3,degens,2090,3100.565684,3100.565684,12
terra1q2vg2y9lllxh0z638mh6dsyg3qukavl4nla47r,degens,5000,3098.047298,3098.047298,12
