address,ste,tickets
terra1avmtfmccgz7t9v0tn24x4yxagpfnz263389qer,250,1
terra1avhku5909ay85ywfe2dq954kkqlz6w0msw6a3g,20.95,0
terra1avwrjf5q8elvq0g09p52mp3qfjcw9mgqs9rwpf,254.70,1
terra1avf4l4nc89qkmk268gdzmlftmydeetsl8f3n4q,519.59,2
terra1av8z2szxlt9pwa65hf22zuv63ee7q2le7ml7t8,299.97,1
terra1at8ddhc6q93z38tu5vh35r9eks4wqq7k7nvxcq,250.44,1
terra1atp25xzhsaf4r4j6edrt3xk3qfmnav9zzyyl9c,305.61,1
terra1af635zqff556q0y9vnwhm8nk2h9ehvxesjgha2,251.99,1
terra1afvhtkuzddmpk5t289ry88qckmus4cqjqvvyvu,444.29,1
terra1affsz00anqws3jwymqc7q3f9nrcrfycmnxq5cv,277.69,1
terra1afxkv3ua0f8xcj4y2a28plfr8hyncxln0utj85,254.81,1
terra1afp25ng5z97w3kawvuuxdjkjaw2nt0qymr0sgn,652.45,2
terra1agz2fscjxp8gtfu55jgwapqsvwrjxxn7xmavzr,436.79,1
terra1a8apqeta7qvu9kmzw6wwxcscfvxcrzf0djp2qq,254.20,1
terra1ax66jr30d6sr677l6aghwl5hdtfrmxec6yzd47,255.02,1
terra1axsymfcz48c6lazh6xr9ycgr20qk4tsx9gm3y2,257.38,1
terra1ax0mr30fwzn8nypq8090cuvljmv0vjql5vujcj,338.55,1
terra1axxyw9edap0m37r2tysnqdhynsxwr3h4c0k7em,317.96,1
terra1axqqk5d9svkqzztz5eexvcw6p47nw6fzg5xuch,297,1
terra1a9uucjxpm4fvw55p59z3nemw8wwtvhz30g2q4e,458.56,1
terra1a9hq4ptnu875k7pv0956qaz8hzxkxtqar0r0wl,250.10,1
terra1ay7t0t255l9ymaqhmw0c09wg2s9a6rpc73v846,1540.68,6
terra1ay6w4u5f7hr4hzcpqsv3pt8d92qjtq5gs9xwv2,795.82,3
terra1ayjupulkt7s67vp90a9vp4t3uezqmxv7r8u0qh,356.47,1
terra1ara0nsyxy7elsustfym9nn38zv0uwczhy9nvlr,255.24,1
terra1ar3jflttt6vsrgnn2cgyqajex5arqnhaukn6y7,262.16,1
terra1arrapsgjjp0pve2tnp2t5ae3kxrrs7lxwsuccp,253.73,1
terra1azut0gjqn8p7hgkc6t2jp4gs2sj630y45vlepp,289.86,1
terra1azjsfkdg34f28njujyhtjjqnash64tkctfqhx8,264.73,1
terra1apmzp25rdeaklxs3m54jyaprnntlerj0aaatku,267.30,1
terra1ap6yg3ahyqxp2jynta697yx90479krxzavle70,308.45,1
terra1apxrr04zxa9n98t26qd6hdvqnxkl852yq08g9f,1158.92,4
terra1app9ezam97mt4e6n8dezry6razhwntde8r2qfg,293.01,1
terra1apq4dznwv4wzvcqv3e8v84l8jz0slj55lsr35a,283.80,1
terra1ulared23yej72xrfegu0md9cqkal2q4cz3rgc0,253.44,1
terra1ulnhdkn40dszx4h93hxgkatptt4e274zjgzsdf,273.56,1
terra1uldggc94ea8g2u0mx7jmej0kxa0n2t96t5z945,276.73,1
terra1u7dnneatw8zj4unkqljzw46xx729rkgc9n2995,253.19,1
terra1u7vg8crqf09xwjya6d5q4e66tfxe48arl69nz5,515.49,2
terra1ua6sdls3t3gv9w2k55f6mgn75pmtu4vtzjvep2,263.48,1
terra1uakdswxkmxn9jqrd92tuh3d5tz9stkcg4dr9vj,255,1
terra1uuhymn9c60tt7h0fvkmqnn0a4k6e6gcmv8dqvq,1213.38,4
terra1uudwswavmfgrhs40efq6ajw0s3hrr5455qpc5l,268.63,1
terra1umm0s9av9g0qnw25g9p99kmw8967dddztrrlth,281.80,1
terra1um6m89pjrx0qz8shp3px520mtkzkqaw67t837e,261.99,1
terra1umkermkvx66llyn8cy0ncumnprvupl0mck8jty,556.76,2
terra1um4kzwrsctzm63h0qg2rgp2sr9nshdwwcfvkea,251.46,1
terra1u6d5p3l8gmtdyrwgrcqmds24avpwlpfrfqwcem,256.23,1
terra1u6zgjsyd0qf9ufspclc9ddy30u58wqedcjh8u9,1624,6
terra1u6pvryx9nqxjcr2snjvpys2yuv4n9a9qkgny0n,788.86,3
terra1ue60zeqzaq23yq4p52yj0whez5kvz2jcgpk747,251.84,1
terra1uejp3dlsxt2h0guln2cjkqxqvnyap4h9l4hzup,253.74,1
terra1uetlvx7kn3vn0mvjwfs5lmrv3x8k89lj9dqltt,365.23,1
terra1uc28w9rxcntfyqwfpfr6q28yx6sv4h24ksj3dj,623.60,2
terra1uhm4tyngk094vwuzqldd49eclrpwegszdm9pvj,303.62,1
terra1uhwuexw4zyw2xsz8evug0rg2u5m58v4fhgya6t,250.03,1
terra1uhts2frppzs5srl7ygxpdu7rrlgsfkjn3jeht7,1580.15,6
terra1uka43h0gvv2sexhvflr54c58m9k5j2wcys33fa,1147.37,4
terra1ukk5r6pm678s9vw4v62020rwwlncjmmkpfykzn,304.50,1
terra1uk40n7pcsmrdajcu538w5e46uetuza4n0mqsj2,4503.32,18
terra1ukslq0262kcvwa6xa5lg9ym4nfdwvaxgerfzn3,825.80,3
terra1u4njk0nz3c2wweasyrxxwr5c9n5a2jxpjeq647,250.51,1
terra1u4vx0l3jkau4c97vlu3ce8gl2d9yg4rps0ldr2,250.92,1
terra1u4vqyfw8pp6e77ltmqcdmydlst4ttcvpfcng3e,1780.33,7
terra1un658wxget9tnacwjl729fupc75wne2wjz5sp2,281.61,1
terra1un24mydyypwcwl7sxn4qhr9k3lp6xjk0dc3hzy,259.89,1
terra1unfd255jc8dtspy8a939parf2uedv4l2xe0s7d,250.70,1
terra1uj6uwqeyqeng6qq4lfhzwxtm7qhylm2x4k929z,523.81,2
terra1uj8lprc59a97q7veftcacw3u0kxxuhew7zlylz,371.16,1
terra1u3mn2kml0v28rdk66g8d0cwch5wggfekydenjj,290.36,1
terra1u3plm7v9jt2madxr9ng4ll9v82acc2ce3s8ua2,381.67,1
terra1usk02d6ng7nv8z50zzm39zn7ygez8nlwgemr3y,2023.01,8
terra1usnvaxernydzf7jrzugkz7y8njss0xcv8sgdwy,502.27,2
terra1us33kn7xgvqq9p6fzgwqyeynnnc7p5qx0ycdfm,254.92,1
terra1uspqlemwca5vqpm2gpu4tp4jstaxywn493r03f,345.26,1
terra1u06l3493344swgtcfwx3f37pyft3z3pu8j2wmu,500,1
terra1uw7h6ugu56vxnfvtvdnnzvr4fl2vy8fcz3evr5,3216.58,12
terra1uwh3lhz0364zwd5aktk4tjj7l4y7qx8jzllyns,328.83,1
terra1uwjf55qayjrkt0pgw8w06rsrlqy7jnpfu46uz2,2063.25,8
terra1uwge0pwet22tt356934f9zqud7fc6mgeuq6z9m,272.70,1
terra1udlr4ya6lr93434qatfmea4nh4hk0yzh4synxv,256.31,1
terra1udk0g9zp9ts3rlpye9qxlvk7djep2s4jk6vaen,299.07,1
terra1ud38tcwhj3nv8zl5qxyfu36u039vhvfkvsnl9t,250.74,1
terra1udw9gj7cldhc8nx7gzg9xlceyrsuwva2adn3uq,269.39,1
terra1utu86s0a0t0u27kyf4evg25v5uevtu5nlrk5j6,800.51,3
terra1utkvanp6ecgv7h2ac3czdn9smstrs68lkxvz7z,250.36,1
terra1utdeapanx9r0qu3h6x9v57jzh504faf5p0whkd,492.57,1
terra1ut8vdwqxetasdj90ggjpzrut2wzrfwtkzk2c2p,1258.97,5
terra1u2kydzeecccny8lht0y8x7yerez7sxuclr0wqh,312.14,1
terra1ufu8dmm8sxlr5py40389dfvd5pvsheqpnhanw7,256.60,1
terra1ufd3hjhc4qfygnslf3jt5qhl042q470zrnwcqs,250,1
terra1ufr4lmwpj7tqgs5n8ww78yy8dy6ydqtngazmen,314.19,1
terra1ufqzmu799vtym9q8fuwapep8l9f832ee8r2jsp,299.76,1
terra1ug9lyk4evpvhx30ngxq8k00w9gpuln066wqv29,385.65,1
terra1u8u5p3fs70dks6u6qe48st5pqta9zehg7uj7u7,1405.83,5
terra1u8rfpt0nwtuhc8ej5ukcaglsqrkr4g8zfelahp,250.61,1
terra1u9unga7p4xkc76w3zmrgz73kgc64tz5e0e60w8,824.29,3
terra1u9h5lwru7tr4qvyq60uvausaeanqfn635rca6c,254.20,1
terra1uysymkwxn84qsx7k60etz3d5a2jee5evfc8vx0,250,1
terra1urwu0eadd5kp9ff0djfl946vq3cndav5mnfqtt,251.06,1
terra1urqprlpeu9xcrlk54a7xmnaqd90u0zy3d4f4rk,782.57,3
terra1uz6d0430tp28djln7fldrzyk44hadf5du0s590,258,1
terra1uzdlgqqcd84vfjfkt66w7ac4243k5nps6n0rlu,308.43,1
terra1uz2s44dad3pa2td6jye4368ef769ee9fkauval,250.13,1
terra1uzrgqzpd6u7l65laywftw44xj2rxeugddrvvnv,250,1
terra1uphw0gqmrkgaylyr80cg80uvwfecewfywcdrzv,658.65,2
terra1updvkjfvr3esyn30kkd7gfylh9hnvrn95647ej,250.57,1
terra1uq5r4v6gm9w3dklfqwhuldv8kdhn4yn62apq9y,1138.11,4
terra1uqwsjcjm9dz9z2dfc9zu0aqlujfxt6qhdt7ks8,251,1
terra1m7ksq9y7j6hycczv2kdsy6wrplrqppesmcv5zm,263.78,1
terra1m7ycn54ylc609x2mntxm35fn74llna5fxcv6aj,252.01,1
terra1ma03jzq6lxgqrpmuzf0ydd6s5p76q2umhkska3,251,1
terra1ma2d4yckz3hmw2rkwz09k989njnrx4aygvcmfz,257.42,1
terra1ma936q4hexycqp3wnxgurjgpxqmvvhkhsc405k,250.06,1
terra1mug3pz7w597vnp0fetl4e9lwc8ukg7ynthmtae,257.44,1
terra1muyknmnujcljs86uc3qpcqvv9vh8pvk2pe8jnu,254.24,1
terra1m6k79p044nr5zuj4phx9zfx5unwg8c7p3l2eqh,285.10,1
terra1m643dfzfhc9gmu7lfmdp24nm6hpt0se8vaxcfa,294.34,1
terra1m6g0khyxcqyca92tlm3tgv23gucpsq5j6e9mxs,251.37,1
terra1meaaf6ftfdx9glq09v74akyg85nnz3ftslv3g9,364.88,1
terra1meecw224msdgdkdvry29tsxd05ewp39ymnnqqr,260.37,1
terra1mexufxs8l0kslyhtxmfgusqw4fxtn5c0xy5mr9,255,1
terra1mcapmlkjn5390jcpvfnskjh6j5v7frlvdpzwqn,1652.37,6
terra1mc5tt8uhy3hdzfv0yarse37n2nuzys7u3f65e0,254.10,1
terra1mcv3e8y4kw22ta6m4s2yhkmet998t28rg8k5yt,321.14,1
terra1mcqewnhmw50cdxmydt5thckr8764v9rqds4vz8,251.93,1
terra1mkahpe6vsyns4827fw47jdcw7apxmq867sr3tx,260.13,1
terra1mku0fdwlsayy6gxg0pafvmvyfa47x9mckms7wx,328.62,1
terra1mks90ztlhzf46mapledqt2jh56t0jrpy04nqjc,251.37,1
terra1m48n2l96pn2g4e8d3nk3eg9ujg8kjn7cx39xxj,637.28,2
terra1m4pyma238ggs694mul3ds97zw66clmmwnshe9m,250.21,1
terra1m5dsmsr4xqasd90szrwmlu66r26v3qgg3nklpx,509.22,2
terra1mn07dhum3qa4f3jfjvjmwl7q7falnqj2nn3mya,1844.76,7
terra1mjn9aw622fh053fld0v4ama2zj2f3nm3w0su00,250,1
terra1mjt40uhn4ryz5c63ttdeap0v0u6c85u6yjx7xu,1369.72,5
terra1mjtfsg7lpyzugpd94py4zpxgjm2h3ln5zc9u7z,251.14,1
terra1m37emqueear9pwpphk8ngp6plr90t56alm7j4n,260.80,1
terra1m38p27cc8yhn7usje9lz85y48980ssqv4we94t,268,1
terra1ms7e4st9unq5a80jxyd6zuk63uwj5rng7a5dlt,685.78,2
terra1mshx6eyxeadncre04zdf4htz48repzfe0a65ed,783.64,3
terra1msk082tkafuklkz9hn6sx2c05c7tzrnwl34qag,284.80,1
terra1m0wrl3fh55uy7g90fkerleek3w4s4scn5qqcvv,0.09,0
terra1m0tmpewpx5xltrdl80j56a257anyyvjymth9sh,1502.49,6
terra1m0f58a3vajdgswvfd37qgcjnq355pxxr80rpkv,572.35,2
terra1m0p5xnr4a70rwzw77nmeclnfwp49rvedcvw42s,505.01,2
terra1mw3zm66vxdll97n723sjmh3mzl3wwekpd60hgw,1230.18,4
terra1mwr9rsrw33lzc00z5e3fcjuqj6t6samyeav68h,265.56,1
terra1mderj5px573t0gpup8rjwjmuwlru6ykd2a5suz,1299.03,5
terra1mv6yspy0hgcht8ne3q2ptlws70a6gg63fmjckq,786.84,3
