staker,lp,stt,ste,faction
terra17zg2z...h9ps,6.258543,9.289509,17.11268775,degens
terra17zyy8...59ah,30.488755,0,38.110943750000004,degens
terra17p4u7...4na6,2.008658,1,3.5108225,degens
terra17p339...s0zw,327.225844,0,409.032305,degens
terra17pdvc...frrd,1,2.987347,4.237347,degens
terra17quzv...3cr2,299.13024,12,385.9128,degens
terra17qcq0...5297,1200.594977,0,1500.74372125,degens
terra17qd9z...ylsl,22.051989,0,27.564986249999997,degens
terra1alrzm...ny2k,66.158788,13.221523,95.92000800000001,degens
terra1alzcg...hvpl,456.719886,0,570.8998574999999,degens
terra1a77np...kt06,2.092253,41.341293,43.95660925,degens
terra1a7gee...m5lj,405.377669,64.126139,570.84822525,degens
terra1a7xk8...wdf5,11.023474,25.203854,38.9831965,degens
terra1a7pfs...dahk,5.827968,2.042217,9.327176999999999,degens
terra1aawff...mq8m,0.414968,0.25,0.76871,degens
terra1aaprn...7nfd,0.413293,1.428136,1.94475225,MANY_FACTIONS
terra1au6vc...dytq,7206.011561,0,9007.514451250001,degens
terra1aucg8...sgyp,0.806076,0.3,1.307595,degens
terra1au9ax...vkun,99.139394,31.941212,155.8654545,degens
terra1amkrx...aku6,2.198665,3001,3003.74833125,degens
terra1am52a...4tqv,2.049278,212.49631,215.0579075,degens
terra1am0rc...66nh,3.850632,0.149602,4.962892,degens
terra1a6trq...jekk,87.22,0,109.025,degens
terra1aehve...x927,25.836209,1.57073,33.86599125,degens
terra1aeda6...7l7j,0.00427,0.002,0.0073375,degens
terra1aersc...djyy,35.826314,0,44.7828925,degens
terra1ac7lt...amnf,820.146807,0,1025.1835087499999,degens
terra1acumc...nhxm,27.650969,0,34.56371125,degens
terra1acj3j...0tcp,132.158376,0,165.19797,degens
terra1ah99j...u20s,0.280845,0.119997,0.47105325000000003,degens
terra1ak4mx...h2fq,0.718484,0.1,0.998105,degens
terra1akdt0...a0sf,9.991259,28.014313,40.503386750000004,degens
terra1ak8nd...ykpw,591.515951,5.482986,744.8779247499999,degens
terra1akxda...pqln,0.211353,26.000001,26.26419225,degens
terra1akrzc...vawa,41.002101,4.379708,55.63233425000001,degens
terra1akpz8...wcux,3769.540559,228,4939.92569875,degens
terra1a4m45...xjat,84.711363,0,105.88920375000001,degens
terra1a4chz...czdk,70.377673,47.245143,135.21723425,degens
terra1a40kk...0tu0,2468.168127,0,3085.21015875,degens
terra1a4224...w7s9,3.357857,103.829327,108.02664825000001,degens
terra1a5n6y...0u4t,2.032713,0.01,2.5508912500000003,degens
terra1a53lc...fa0q,0.447912,51.514897,52.074787,degens
terra1a5snk...9t2r,225.073803,21.572711,302.91496475,degens
terra1a5zxf...drml,0.341049,0.001,0.42731125,degens
terra1ane2d...4jnp,0.122364,0.193858,0.34681300000000004,degens
terra1an5we...q2ql,2676.501288,309.297423,3654.924033,degens
terra1ansgg...cpzf,2.125363,210.706466,213.36316975,degens
terra1an84y...cpa9,98.86492,0,123.58115,degens
terra1ajn36...5xlh,20.936582,32.597801,58.7685285,degens
terra1a3au7...dka2,642.559319,0,803.19914875,degens
terra1a357x...9pf0,22.439713,0.849031,28.89867225,degens
terra1a3n92...x7q9,1.911061,0.108349,2.4971752499999997,degens
terra1a3y29...67ql,1365.64349,1359.118764,3066.1731265,degens
terra1ase43...vhkh,0.15438,0.08,0.27297499999999997,degens
terra1as0f5...vwdd,2.079642,0,2.5995525,degens
terra1as9jw...zd6c,208.381538,10.653057,271.1299795,degens
terra1a042n...enq8,151.42427,0,189.2803375,degens
terra1a0qts...qnpl,1026.110812,20,1302.6385149999999,degens
terra1aw7la...rt5y,2438.480501,0,3048.10062625,degens
terra1awu3n...n25q,44.017404,56.419683,111.441438,degens
terra1awkjd...7y3a,2.092515,66.484061,69.09970475,degens
terra1aw578...j7lr,2.086928,1,3.60866,degens
terra1aws5k...xsts,3.775256,86.327242,91.046312,degens
terra1awxme...vcsf,2.207802,0.1,2.8597525000000004,degens
terra1awrdv...y6t6,1.096834,0.5,1.8710425000000002,degens
terra1awpfl...a9qx,2.289005,0,2.86125625,degens
terra1ad470...pum8,0.842656,0.01,1.06332,degens
terra1adnql...8ar8,2.111639,250,252.63954875,degens
terra1adrh4...x87q,1,286.640546,287.890546,degens
terra1adzg2...gtje,46.029008,1.052344,58.588604,degens
terra1avmsn...qu98,0.887493,0.183194,1.29256025,degens
terra1avwv5...24mw,159.775,32.95944,232.67819,degens
terra1avp5x...crdh,0.429743,4,4.53717875,degens
terra1atufh...dafn,0.768763,73.446163,74.40711675,degens
terra1at8dd...vxcq,47.72882,41.725231,101.386256,degens
terra1a2afz...26ft,2425.361223,10,3041.70152875,degens
terra1a2u3q...3gxh,2.171445,32.013296,34.72760225,degens
terra1a29j9...a5zl,0.002094,0,0.0026175,degens
terra1af4kr...qcur,0.982934,0.01,1.2386675,degens
terra1aff8w...nrkx,16.028972,0,20.036215,degens
terra1afxy2...5j7c,7.695791,0.778432,10.39817075,degens
terra1ag42k...hx2u,82.44773,0,103.0596625,degens
terra1a8myn...kgjx,1673.790566,1001.238128,3093.4763355,degens
terra1a85qc...m96k,4.055401,5.78449,10.853741249999999,degens
terra1a80d3...xkw4,30.096455,14.324365,51.94493375,degens
terra1a8q4q...gnw3,0.456615,47,47.57076875,degens
terra1a8qzw...7urf,0.171514,0,0.21439249999999999,degens
terra1axhju...wjsf,454.79815,0,568.4976875,degens
terra1ax5jx...h4w7,8.65647,5,15.8205875,degens
terra1axfkx...lee3,11.268919,0.471689,14.55783775,degens
terra1axxyw...k7em,233.761751,4.723957,296.92614575,degens
terra1axpf7...v3kv,0.424252,0.016722,0.547037,degens
terra1a9nk6...spqk,42.05278,0,52.565974999999995,degens
terra1a9fdz...kjd5,3.168225,0,3.96028125,degens
terra1a9fpt...nw4l,2412.086511,3113.117654,6128.2257927499995,degens
terra1ayutf...mcdn,0.688249,0.203902,1.0642132499999999,degens
terra1ayzal...vttl,113.396888,0,141.74611000000002,degens
terra1arhq2...k07k,3.945082,71.212406,76.1437585,degens
terra1arksw...89d7,0.395047,0,0.49380874999999996,degens
terra1arjd9...kfnz,1.917626,0.505525,2.9025575,degens
terra1ar2ln...ew7p,42.789648,0,53.48706,degens
terra1ar8se...v7en,0.602869,0.00001,0.75359625,degens
terra1arrap...uccp,10.87092,25,38.58865,degens
terra1az3rl...x3pl,2.007007,0,2.50875875,degens
terra1az0cp...wuge,335.484339,15.935652,435.29107575,degens
terra1az0tv...a6zh,0.201315,1.009268,1.26091175,degens
terra1azxjj...9k0f,2.056925,63.06886,65.64001625,degens
terra1azxpm...2g2z,0.000195,0,0.00024375,degens
terra1ap6yg...le70,21.499539,60.131003,87.00542675,degens
terra1aph5s...yhvt,2.174982,0.1,2.8187275,degens
terra1apk96...6n6x,0.216252,0.008107,0.27842199999999995,degens
terra1apnvj...clkk,0.351013,0.2,0.63876625,MANY_FACTIONS
terra1apf7j...h4r8,23.204947,39.584379,68.59056275,degens
terra1apq4d...r35a,89.314053,1.002701,112.64526725,degens
terra1aq3zg...y30p,1218,0,1522.5,degens
terra1aqdp8...j5f5,7702.604131,951.770597,10580.02576075,degens
terra1aqpk2...vzkk,0.527616,3.097301,3.756821,degens
terra1ul7q3...xw7a,0.202876,0.019375,0.27297,degens
terra1ulctv...p3sp,27.52448,2.578258,36.983858,degens
terra1ul2nu...rrsq,0.04363,0.05,0.1045375,degens
terra1ulfx3...dlc0,0.215631,0,0.26953875,degens
terra1u7u7v...htlz,0.209431,75,75.26178875,degens
terra1u74xk...ymyv,0.434906,1,1.5436325,degens
terra1u75d9...qjyp,8.211092,8.039898,18.303763000000004,degens
terra1u7vg8...9nz5,215.815442,218.013276,487.7825785,degens
terra1u7r6y...f3v2,3.595696,0,4.494619999999999,degens
terra1ua5rc...stj6,0.404149,0.176626,0.6818122499999999,degens
terra1uaxwc...lvu3,3025.705398,210.906358,3993.0381055000003,degens
terra1uazwl...cyhp,50.808804,50,113.51100500000001,degens
terra1uapre...n3yu,278.092288,0,347.61536,degens
terra1uum6s...nt0k,0.45448,0.016928,0.5850280000000001,degens
terra1uumrp...wpjg,2.231116,14.504155,17.29305,degens
terra1uu007...qk8h,1.170412,0,1.463015,degens
terra1uud9u...fy5p,39.677012,0,49.596264999999995,degens
terra1uuy8v...ccsk,0.727647,0,0.9095587500000001,degens
terra1umed4...6rlq,22.32018,6.048648,33.948873,degens
terra1um5f8...txph,2494.893625,33.836361,3152.4533922500004,degens
terra1umvwn...pu9p,11.489556,4.990727,19.352672,degens
terra1umrtw...tk98,67.396436,0,84.24554499999999,degens
terra1umpnu...8v77,0.200685,0.01,0.26085625,degens
terra1u6m3h...43du,79.257967,39.702648,138.77510675,degens
terra1u65n8...jmu4,0.061533,74.770002,74.84691825,degens
terra1u6r30...vj5w,241.679385,7.253783,309.35301425,degens
terra1ue60z...k747,1.051968,0,1.3149600000000001,degens
terra1uew75...0al7,2.080428,72,74.600535,degens
terra1uc7em...03wt,2,1,3.5,degens
terra1uculy...p8j0,0.000421,0.001,0.00152625,degens
terra1ucnpu...jjd7,19.877306,0,24.846632500000002,degens
terra1uc28w...j3dj,373.107623,0,466.38452874999996,degens
terra1ucrv7...ser5,2000.00552,0,2500.0069,degens
terra1ucqtj...6a3h,472.515698,24.114776,614.7593985,degens
terra1uhm4t...9pvj,11.705476,65,79.631845,degens
terra1uhef7...9xyy,2.376772,0.1,3.0709649999999997,degens
terra1uk6mv...wy3d,6368.2,38,7998.25,degens
terra1ukk5r...ykzn,19.305988,8.728621,32.861106,degens
terra1uk0pe...t0xv,19.303144,3.999993,28.128923,degens
terra1ukwut...ydqr,1.046878,1,2.3085975,degens
terra1ukwjr...w4d9,0.000222,0.9999,1.0001775,degens
terra1ukgxk...qdht,0.04,0,0.05,degens
terra1u4emg...fn6p,121.920772,52.024747,204.42571199999998,degens
terra1u4e8n...7qeh,0.631581,0.000204,0.7896802499999999,degens
terra1u4vqy...ng3e,14.508185,1391.464825,1409.60005625,degens
terra1u4yne...44c4,0.020755,0.099943,0.12588675,degens
terra1u508l...tkt8,31.574048,28.298698,67.766258,degens
terra1u5fst...egy0,46.783242,0,58.4790525,degens
terra1u5gwg...vmf9,351.237245,103.462577,542.50913325,degens
terra1unlp4...e3r6,0.195311,3003,3003.24413875,degens
terra1una03...lqxk,86.99915,15.705322,124.45425949999999,degens
terra1un652...dxsc,2.01168,0,2.5146,degens
terra1un4dg...0f4d,2.010645,0.5,3.01330625,degens
terra1ujdur...yh7p,0.19065,0.09,0.3283125,degens
terra1ujtxp...es34,0.199817,251.245293,251.49506425,degens
terra1u376x...a806,286.626247,1.316872,359.59968074999995,degens
terra1u3ecu...nn43,1.250745,0.197164,1.7605952500000002,degens
terra1u3e36...6hqd,159.575747,529.935949,729.40563275,degens
terra1u3ske...rpuq,5.184903,0.5,6.98112875,degens
terra1u3dh7...y0mt,30.148932,0,37.686164999999995,degens
terra1usazz...zgkm,49.22129,0,61.526612500000006,degens
terra1usef0...xh84,1.911278,4.47557,6.8646675,degens
terra1usnva...gdwy,195.412043,222,466.26505375,degens
terra1us3nk...zl34,325.206775,250,656.50846875,degens
terra1us33k...cdfm,99.54974,25,149.437175,degens
terra1usvh8...geld,24.765717,1.271213,32.22835925,degens
terra1usrys...rnc5,13.991806,0,17.4897575,degens
terra1uspql...r03f,276.210561,0,345.26320124999995,degens
terra1usqrz...d45r,4.632869,15,20.79108625,degens
terra1u0l9s...nc6x,128.271607,0,160.33950875,degens
terra1u0eg4...568m,147.250747,0,184.06343375,degens
terra1u0sgh...4598,0.000021,0.00001,0.00003625,degens
terra1u0vwz...llum,0.805266,0.414366,1.4209485,degens
terra1u0ftl...5kt9,5.835968,104,111.29496,degens
terra1uwuzj...vg83,0.000422,250.08,250.08052750000002,degens
